"","Full_Date","Date","Day","Inflation","Interest_Rate","Deposit.facility","Marginal.lending.facility","BCI","LT","ST"
"1","1999-01-01",1999,"1 Jan.",2.6,3,"2.00",4.5,99.50746,3.822,3.1321
"2","1999-02-01",1999,"1 Jan.",2.6,3,"2.00",4.5,99.40735,3.9742,3.0934
"3","1999-03-01",1999,"1 Jan.",2.6,3,"2.00",4.5,99.34124,4.181,3.0467
"4","1999-04-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,99.4099,4.0407,2.6965
"5","1999-05-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,99.59341,4.2049,2.579
"6","1999-06-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,99.83303,4.5267,2.6267
"7","1999-07-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,100.1266,4.8562,2.6765
"8","1999-08-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,100.4616,5.0606,2.695
"9","1999-09-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,100.7786,5.2353,2.7267
"10","1999-10-01",1999,"9 Apr.",2.6,2.5,"2.00",4.5,101.0149,5.4716,3.3757
"11","1999-11-01",1999,"5 Nov.",2.6,3,"2.00",4.5,101.174,5.1842,3.4677
"12","1999-12-01",1999,"5 Nov.",2.6,3,"2.00",4.5,101.2753,5.3044,3.446
"13","2000-01-01",2000,"5 Nov.",3.7,3.25,"2.25",4.25,101.3412,5.6985,3.3431
"14","2000-02-01",2000,"4 feb.",3.7,3.25,"2.25",4.25,101.4281,5.6636,3.5368
"15","2000-03-01",2000,"4 feb.",3.7,3.5,"2.25",4.25,101.5249,5.4906,3.747
"16","2000-04-01",2000,"4 feb.",3.7,3.5,"2.25",4.25,101.5796,5.4138,3.9253
"17","2000-05-01",2000,"4 feb.",3.7,3.75,"2.25",4.25,101.6575,5.5155,4.362
"18","2000-06-01",2000,"4 feb.",3.7,4.25,"2.25",4.25,101.7137,5.3454,4.5017
"19","2000-07-01",2000,"4 feb.",3.7,4.25,"2.25",4.25,101.7249,5.4537,4.5829
